pair_id	han_sentence	viet_sentence
HVB_005_0034	鄭鐵長 安定東里人尚公主奉使仕至右侍郎致仕沂國公	TrinhthietTruòng 鄭 鐵長 Người làng Đônglý huyện Anđịnh được vua gå Côngchúa có đi sử làm đến Hữuthịlang về hưu
HVB_005_0035	阮永錫 上福縣人仕至翰林院承旨	NguyenvinhTich 永錫 Người huyện Thượngphúc Làm đến Hànlâmviện Thừachỉ
HVB_005_0036	范國貞 清潭小蘭洲人	PhạmquốcTrinh Người làng Tiềulanchâu hạt Thànhđàm
HVB_005_0037	武德林 唐安慕澤人	VodúcLâm 武德林MVN
HVB_005_0038	武伯徹 不拔泰拔人	Vobá Triệ武伯微 Người làng Thái bát hạt Bắtbạt
HVB_005_0039	阮祉 青威左青威人會元	I Nguyěnchi 社
HVB_005_0040	王子春 青威生菓人	Vuong tiXuán王子本 Người làng Sanhquå hạt Thanhoai
HVB_005_0041	阮克津 美蓉磐石人	Nguyěn khâc Tân 阮克 Người làng Bànthạchbạt Phùdung
HVB_005_0042	阮奠 彰德縣人	Nguyễn Điền Người huyện Chươngđứcgu
HVB_005_0043	黎廷俊 細江清朗人兩中宏詞仕至東閣校書	LedinhTuan 黎廷俊 Người làng Thanh lãng hạt Tếgiang lại đổ khao
HVB_005_0044	周祿 唐安浮雲人	ChàuLộ周 Người làng Phủvân hạt Đườngan
HVB_005_0045	陳文善 東山莆里人二十六歲中	Tr nvănThin 陳文善 Người làng Phủlý hạt Đôngsơn thi đỗ khi tuổi
HVB_005_0046	阮春陽 弘化慈明人仕至知縣	Nguy nxuên Drong 春陽 Người làng Từminh hạt Hoẳnghóa Làm đến Tri huyện
HVB_005_0047	陶俊卿 上福武陵人仕至尚書	chánhsứ viễntồ của ông Trân Dào tunKhanh 俊卿 Người làng Thượngphước hạt Võlăng Làm đến Thượng thư
HVB_005_0048	阮文正 東安陽澤人	Nguyènvăn Chánh 大正 Người làng Dươngtrạch hạt Đôngan NguyennhuTrác
HVB_005_0049	阮仁謙 宜陽黎舍人十九歲中仕至工部都給事中	NguyễnnhânKhiềm 阮仁謙 Người làng Lêxá hạt Nghidương thi đỗ khi tuổi
HVB_005_0050	丁鼎 永寧縣人	Bo thuǎnNhan 純仁 Người làng Cồphạm hạt Đồng sơn DinhDinh Người huyện Vĩnhninh
HVB_005_0051	杜榮 長津縣紅蓼人仕至工科給事中	Người huyện Trườngtản làng Hồngliêu làm đến Côngkhoacấpsựtrung Phan phúcCần
HVB_005_0052	阮幼勉 桂陽覓楊人仕至尚書	NguyenăuMin 阮幼勉
HVB_005_0053	武惟善 天本安鉅人兩中宏詞奉使使至憲察使侍經筵從子爵	diên kiêm Sử quán Tồngtài soạn bộ Đạiviệtthông giám Thân phụ ô Cán Cha con
HVB_005_0054	吳金旭 安陽杭涇人仕至吏科都給事中	Ngô kimHúc Người làng Hànkinh hạt Andương làm đến Lạikhoađocấpsựtrung Trän Ky 陳琦
HVB_005_0055	武原禎 唐安縣人	iE VonguyênTrinh 武原 Người huyện ĐườnganLAC
HVB_005_0056	武宜兄 錦江石磊人二十七歲中	VõnghiHuynh 武宜兄 Người hạt Cầmgiang thi đỗ khi tuổi
HVB_005_0057	陶如珪 桂揚知二人	DàonhuKhuê 陶 如 Người làng Trinhị hạt QuedưongT
HVB_005_0058	阮純忠 長津叚松人	Neuyenthuan Trung 纯 Người làng Đoạn tùng hạt Trườngtân
HVB_005_0059	鄭允修 東青闌東洞人二十二歲中	Đặngdoãn Tu 鄧條 Người làng Đôngđộng hạt Thanhlan thi đỗ khi tuổi
HVB_005_0060	黎汝聰 新福縣人	LênhứThông Người huyện Tânphước参
HVB_005_0061	父子兄弟登科 鄧從矩 山圍琩浦人仕至大學參堂翰林院事貼之子鳴謙讚之弟	ĐặngtùngCủ 鄧從 Người làng Mạophố hạt Sơnvi Làm đến đại họcsītham chưởng Hànlâmviệnsự con ở Thiếp em o MinhKhiêm và ông Tán Cha con anh em đồng khoa
HVB_005_0062	阮應 四岐縣人	NguyenángTri Người huyện Tửkỳ PhạmTuẫn
HVB_005_0063	阮承黻 寧山安內人	Người vùng Ninhson Anhội NgôNgọc
HVB_005_0064	劉彥舒 永賴多儀人仕至翰林院待制	tử tiết phong Thỏitrung côngthần gia phong Phướcthần Lej LvunganThur 劉秀舒
HVB_005_0065	吳達儒 金華春熙人	NgodatNho 吳道 Người làng XuânHy hạt Kimhoa
HVB_005_0066	陳有儒 東山古都人	Tranhiu No陳有 Người làng Cỗđô hạt Đôngsơn
HVB_005_0067	范玉川 四岐縣人	PhamngọcUyên Người huyện Tửkỳ
HVB_005_0068	阮興讓 新豐縣人	NguyếnhưngNhượng Người huyện Tảnphong
HVB_005_0069	范肅明 安勇古勇人三十歲中	PhạmtúcMinh 范肅明 Người làng Cồdùng hạt Andũng thi dỗ khi tuổi
HVB_005_0070	黎廷适 梁江金鑊人仕至都御史 梁江後改為瑞原	LêdinhQuát 黎廷适 Người làng Kimhoạch hạt Lươnggiang làm đến
HVB_005_0071	丁允明 唐安香澗人仕至國子監司業	ĐinhdoãnMinh 丁允明 Người làng Hươnggiản hạt Đườngan làm đến
HVB_005_0072	阮明鈿 慈廉西儋人	Nguyễn minh Điền Người làng Tây thiềm hạt Từliêm
HVB_005_0073	阮明命 青池明度人四十一歲中	NguyenminhMang 阮明命 Người làng Minhđộ bạt Thanhtrì thi đỗ khituỗi
HVB_005_0074	阮明達 四岐縣人	NguyễnminhĐạt 阮明達 Người huyện Tửkỷ
HVB_005_0075	吳敬臣 金華春熙人	NgôkínhThần 吳 Người làng Xuânhy hạt Kimhoa臣
HVB_005_0076	阮道興 丹鳳慶葉人	Người làng Khánhhiệp hạt Đơnphụng Nguyên Hoán 阮皖
HVB_005_0077	父子兄弟叔侄同登 阮潔 東岸三山人仕至參政郁之弟藻和衷之父熙載自強之叔	chánh em Úc thân phụ Táohòa Trung chú các ông HyTải Tự Cường cha con đều đăng khoa
HVB_005_0078	趙宣符 立石德臘人文宜狀元被黜	TriệutuyênPhù 趙宣符 Người làng Đứclạp hạt Lậpthạch Văn lý đáng trạngnguyên bị truất
HVB_005_0079	陳嚼 羅江古虞人仕至監御史	Người làng Cồ ngu hạt Lagiang làm đến Giámsátngụsử HoàngkiềuVinh 黄矯榮
HVB_005_0080	阮健僖 維新縣人	Người huyện Duytân Vôtăn Chiêu阮健
HVB_005_0081	憲宗睿皇帝 聖宗太子在位七年	ĐỜI VUA HIẾNTÔNG DUỆHOẢNGĐẾ Năm kỷvị niên hiệu Cảnh Thống thứ
HVB_005_0082	武慎貞 唐安縣人三十六歲中	VõthậnTrinh 武慎真 Người huyện Bườngan thi đỗ khi tuổi
HVB_005_0083	武道光 唐豪中立人仕至轉運使	VõđạoQuang 武道光 Người làng Trunglập bạt Đưởnghào làm đến chụyềnvậnsử
HVB_005_0084	阮伯俊 武寧縣文豐社人改伯佺有應義功仕至尚書贈少保由禮伯	NguyễnbaTuan 伯俊 Người huyện Võninh cải tên là Bá Tuyên có công
HVB_005_0085	阮雄覽 桂陽縣人	NguyễnhùngLâm Người huyện Quếdương
HVB_005_0086	杜安永 安豐斗翰人仕至正斷事	DoanVinh 杜安永 Người làng Đầu bàn hạt Anphong làm đến Chánhđoánsự
HVB_005_0087	楊德耆 維新縣人	DươngđứcKỳ 揚德者 Người huyện Duytân
HVB_005_0088	吳文輝 唐安邾溪人	Nguyễnbá Ting 阮伯松 Người Tạ xá hạt Tứkỳ
HVB_005_0089	阮嘉猷 青威潮曲人仕至府尹	Nguyengia Du阮嘉 Người làng Triềukhúc hạt Thanhoai làm đến Phủ doãn
HVB_005_0090	阮廷賴 超類樂土人會元初名懶御筆改名賴	Người làng Lạcthồ hạt Siêuloại Hộinguyên trước tên Lãn ngự bút cải tên Lại
HVB_005_0091	宋師路 農貢新沐人仕至參政宋儒之祖	TỗngsưLộ 宋師路 Người làng Tàn mộc hạt Nôngcống làm đến Thamchảnh Tồ phụ ông TốngNho
HVB_005_0092	阮仁仕 永賴縣人	NguyễnnhånSi Người huyện Vĩnhlại
HVB_005_0093	黎德毛 安胡美晦人	tuồi làm đến Kimdo Ngựsử LêdứcMao 黎德毛
HVB_005_0094	阮文瑩 山圍慕永人仕至參掌翰院事	NguyễnvănOánh 阮文瑩 Người làng Vĩnhmộ bạt Sơn vỉ làm đến Tham N
HVB_005_0095	杜文忠 清潭永忠人仕至憲察御史	ĐỗvănTrung 杜文忠 Người làng Vĩnh trung hạt Thanh đàm làm đến
HVB_005_0096	累世登科 吳海 安豐望月人鈺之子澄之父仁澈之祖仁濬之曾祖	Người làng Vọngnguyệt hạt An phong con ông Ngọc thânphu ông Trừng tổphụ ông NhânTriệt tằngtồ ông NhảnTuấn Năm đời đều đăng khoa
HVB_005_0097	阮義壽 維新縣人	NguyennghiaTho 義壽 Người huyện Duy tân
HVB_005_0098	申維岳 武寧大璉人仕至錦衣衛斷事直金光殿	ThânduyNhạc 申維岳 Người làng Đạiliên hạt Võninh làm đến Cầmyvệđoảnsự trực Kimquangđiện
HVB_005_0099	阮德豐 清潭縣人	Nguyễn đứcPhong Người làng Vĩnhtrung hạt Thanhdàm
HVB_005_0100	李克納 東岸錦章人	LýkhåcNap 李克納 Người làng Cầmchương bạt Đôngngan
HVB_005_0101	阮百歲 唐安琮琤人仕至尚書	NguyenbáchTue 阮百歲 Người làng tranh hạt Đườngan làm đến ThượngLêvănBieu
HVB_005_0102	范元 唐安東人	PhạmNguyên Người làng Triềnđông bạt Đườngan
HVB_005_0103	羅世業 淳祿叢竹人	Lathế Nghiệp 羅世業 Người làng Triệutrúc hạt Thuần lộc
HVB_005_0104	郭秋鷹 仙侶鳳翔人	QuáchthuUng 郭秋鹰 Người làng Phụng tường hạt Tiênlử
HVB_005_0105	武非虎 橫浦涂舍人	VõphiHồ 武非虎 Người làng Drxá hạt Hoànhphô
HVB_005_0106	阮昭訓 安豐安康人奉使仕至尚書克寬之父	BáKý thản phụ Ô KhuôngLễ Ba đời đăng khoa NguyếnchiêuHuẫn 阮昭
HVB_005_0107	阮文傑 四岐縣人	NguyễnvănKiệt 阮文傑 Người huyện Tử kỳ
HVB_005_0108	父子登科 褚師董 東岸會阜人仕至尚書致仕師文之父	Chửsư Đồng 褚師童 Người làng Hộiphụ hạt Đôngngạn làm đến Thượngthư về hưu Thân phụ Ô SrVăn Cha con dều đăngkhoa
HVB_005_0109	阮克綏 丹鳳慶陽人仕至給事中	Nguyễn khắcTuy 阮克 Người làng Khánh hiệp hạt Đơn phụng làm đến
HVB_005_0110	兄弟父子登科 武恂 武寧偉武人改名光肅請仕至尚書侯爵用之兄晉昭之子	làm đến Thượngthư tuớc Hầu Anh Ô Đung con TănChiêu Cha con anh em đều đăng khoa
HVB_005_0111	武有嚴 嘉林九皋人	VohúuNghiêm 有 Người làng CửuCao hạt Gialâm
HVB_005_0112	阮景 山務農人仕至翰林	NguyêncànhQuynh 阮景 Ngươi làng Vụ nông hạt Giápsơn làm đến Hànlâm
HVB_005_0113	阮亨嘉 永昌東閣人	NguyênhanhGia 嘉 Người làng Đông các hạt Vĩnhxương
HVB_005_0114	阮泰拔 錦江平浪人仕至翰林封福神	Trúng đệ nhị giáp Tiễn sĩ xuất thân NguyễntháiBạt 阮泰拔
HVB_005_0115	阮良弼 三農文朗人	Nguyễnluong Bật 阮良弼 Người làng Văn lãng hạt Tam nông Tiết nghĩa
HVB_005_0116	阮楚珠 嘉福瓊瑰人	Hộkhoađôcấpsựtrung Nguyễn sở Châu 阮珠
HVB_005_0117	劉允忠 超類王舍人仕至侍郎	Lưu doân Trung 劉允忠 Người làng Vươngxả hạt Siêuloại làm đến Thị lang
HVB_005_0118	阮敬忠 先豐縣人	Nguyển kính Trung Người huyện Tiềnphong阮 惠
HVB_005_0119	阮挺秀 安定真呂人仕至兵部尚書侯爵贈匡郡公	NguyendinhTú 阮秀 Người làng Chânlữ hạt Anđịnh làm đến BinhbộThượngthư tước Hầu tặng Khuôngquậncông
HVB_005_0120	阮夤亮 安老曲池人奉使仕至戶部侍郎兼東閣	NguyêndanLuong 阮賓亮 Người làng Khúcirì hạt Anbảo có di sử làm Hộ bộ
HVB_005_0121	父子兄弟登科 阮永寵 青林昇川人二十六歲中仕至參政益澤之父務實之兄	tuổi làm đến Thamchánh thân phụ ÍchTrạch anh ở VụThực Cha con anh em đều đăng khoa
HVB_005_0122	阮山增 錦江鄧舍人仕至都給事中	NguyễnsơnTăng 阮山增 Người làng Đặngxá hạt Cầmgiang làm đến Đôcấp
HVB_005_0123	阮好禮 超類清潮人仕至給事中	Thị lang Thụyxuyên Bá Nguy nhiěuL 阮好禮
HVB_005_0124	三世登科 阮光綽 安朗理海人仕至理刑維祥之子世守之父	Bá tặng Thượngthư tước Quậncông NguyễnhoằngXước 阮宏
HVB_005_0125	阮惠澤 宜陽黎舍人仕至給事中	NguyěnhuệTrach 阮惠澤 Người làng Lêxá hạt Nghidương làm đến Cấpsự
HVB_005_0126	范待旦 南昌雷河人仕至工部都給事中	PhạmđãiĐán 范待旦 Người làng Lỏihà hạt Namxương làm đến Công khoadocapsrtrung
HVB_005_0127	尹大效 安勇安寧人仕至總兵伯爵致仕	DoảnđạiHiệu 尹大效 Người làng Anninb hạt Andũng làm đến Tồngbinh
HVB_005_0128	黎如虎 仙侶仙洲人奉使仕至尚書春江侯陞少保俊郡公致仕	Người làng Tiênchâu hạt Tiêntử có đi sử làm đến Thượng thư Xuân giang Hầu lục Thiếubảo TuấnQuậncông về hưu
HVB_005_0129	阮時亮 洽和嘉定人	NguyěnthiLugng 阮時亮 Người làng Giadịnh hạt Trịhòa
HVB_005_0130	阮承休 安豐東川人仕至承政使安之父	NgụyễnthừaHưu 阮承休 Người làng Đồngxuyên hạt Anphong làm đến
HVB_005_0131	梁逢辰 良才梁舍人三十二歲中奉使仕至尚書少保梁溪侯	LươngphùngThì 梁逢時 Người làng Lươngxá hạt Lươngtài thi đỗ khi
HVB_005_0132	父子登科 阮文沂 東山玉盃人仕至禮部左侍郎兼東閣大學士入侍經筵伯爵贈尚書太保封福神文豐之子	tước Bá tặng Thượngthư Thái bảo phong Phướcthần Con o VănLệ Cha con dều đăng khoa
HVB_005_0133	阮雄斷 良才古攬人仕至吏部左侍郎點司業	NguyênhùngDoán 阮雄斷 Người làng Cồ lãm bạt Lươngtài làm đến LạibộTåthịlang truất xuống Tư nghiệp
HVB_005_0134	阮鳳雛 安越車輦人仕至奉天府尹	NguyễnphụngSỗ 阮鳳維 Người làng Xáluyện hạt Anviệt làm đến Phụngthiệnphủdoãn
HVB_005_0135	阮志篤 永昌曲溯人屋青池弘烈仕至永政使德潤之弟	Tựkhanh con ô Cha con đều đăng khoa NguyễnchíĐốc 阮志
HVB_005_0136	阮永福 青池屯貝人改名永祺奉使仕至尚書侯爵富祿之孫	NguyễnvínhPhúc 阮永福 Người làng Truấnbối hạt Thanhlàm cầi tên Vĩnhkỳ có di sử làm Thượngthư tước Hầu cháu nội ô
HVB_005_0137	楊致用 天祿拔擢人仕至兵部左侍郎贈尚書太保郡公致澤之祖	Người làng Bạtla hạt Thiênlộc làm đến Binhbộ Tåthịlang tặng Thượngthư Tháibảo tước Quận công
HVB_005_0138	世宗毅皇帝 成祖哲王	ĐỜI VUA THẾ TÔNG NGHỊ HOÀNGĐẾ ThànhtồTriết Vương chúa TrịnhTùng
HVB_005_0139	馮湛 安世陽山人三十二歲中仕至寺卿	PhùngTrạm 馮湛 Người làng Dươngson hạt Anthẽ thi đỗ khi tuồi làm đến Tự khanh
HVB_005_0140	范文蘭 上福武陵人仕至兵部尚書行承政使侯爵	PhạmvănLan 范文蘭 Người làng Võlăng hạt Thượngphước làm đến
HVB_005_0141	世科 梁謙亨 弘化會朝人仕至禮科給事中得開之孫著少微詩集	khoacấpsụtrung cháu nội ô Đắc Bằng sáng tác ra quyên Thiếuvithitap 少微詩集 Nhiều dời dăng khoa
HVB_005_0142	世宗毅皇帝 成祖哲王	ĐỜI VUA THẾTỔNG NGHỊ HOÀNGĐỂ ThànhtồTriết vương Chủa TrịnhTùng
HVB_005_0143	阮德茂 嘉定仁友人仕至承政使伯爵	Trúng đệ tam giáp Đồngtiếnsĩ xuấtthán NguyếnđứcMậu 阮德
HVB_005_0144	黎弼四 農貢古定人奉使仕至兵部尚書少保衍嘉侯贈太保衍郡公	có di sứ làm đến Tálý côngthần tham tùng Lạibộ Thượngthư kiêm chưởng Lục bộsự TháiphóTuyềnquậncông khai binhquânphủ thợ tuổi tặng Thảitề
HVB_005_0145	敬宗惠皇帝 成祖哲王	Thànhtồtriếlvương chúa TrịnhTùng NĂM NHAM DẦN
HVB_005_0146	阮珙 至靈河桏人五十一歲中奉使仕至承政使子爵致仕壽八十三贈工部右侍郎伯爵	có di sứ làm đến Thừachánhsử tước Tử về hưu thọ tuồi tặng Côngbộ Hữuthịlang tước Bá
HVB_005_0147	父子 艮文迓 安山艮舍人三十九歲中祖貫安山地黃阮達之子從父父姓艮	nguyên tồ quán ở làng Địahoảng hạt Anson con ô Nguyễn Đạt theo cha nuội họ Cấn
HVB_005_0148	神宗淵皇帝 文祖誼王	ĐỜI VUA THẦNTÔNG UYÉNHOÀNGĐẾ Văn tồnghị vương chúa TrịnhTráng
HVB_005_0149	三世登料 范福慶 青林蔓汭四十五歲中仕至寺卿子爵光贊之孫尹璿之子	tuồi làm đến Tựkhanh tước Tử cháu nội ô con ô DoãnTuấn Ba đời dăng khoa
HVB_005_0150	三父子登科 杜文總 慈廉上安決人三十四歲中仕至僉都御史贈刑部左侍郎文綸公纘之父	ĐốvănTồng 杜文總 Người làng Thượnganquyết hạt Từliêm thi đỗ khi tuổi làm đến Thiêmđôngụ sử tặng Hìnhbộtả thị lang thân phụ các ông VănLuân CôngTán Cha con đều đăng khoa
HVB_005_0151	真宗順皇帝 文祖誼王	ĐỜI VUA CHẢN TÔNG THUẬNHOÀNG ĐẾ VănTồ NghịVương chúa TrịnhTráng
HVB_005_0152	父子登科 阮能紹 壽昌河口人屋青池弘烈省元三十三 歲 中仕至禮部尚 卡 郡公爵被黜禮部左侍郎伯爵贈禮部尚 卡 郡公爵克文之子	truất xuống Lễbộ Tả thị Lang tước Bá sau tặng Lễbộ Thượngthư tước Quận công con ô KhắcVăn Cha con
HVB_005_0153	范文達 東坡丕平人士望三十七 歲 中改名之禮仕至戶部右侍郎子爵致仕	tuổi cải tên là LậpLễ làm đến Hộ bộ Hữuthị lang phong tước Tử về hưu
HVB_005_0154	兄弟同科 父子登科 阮登明 仙遊懷抱人二十四 歲 中仕至祭酒男爵致仕鎬之弟登遵登道之父	ở ĐăngCao thân phụ các ông ĐăngTuân ĐăngĐạo Anh em đồng khoa cha con đều đăng khoa
HVB_005_0155	神宗淵皇帝復位 文祖誼王	VănTồ NghịVương chúa Trịnh Tráng Niên hiệu KhánhĐức thứ khoa
HVB_005_0156	黎公朝 唐安慕澤人三十 歲 中仕至參政光賁之曾孫鼐之遠孫	đến Binhbộ Tảthịlang tước Tử sau tặng LễbộTảthịlang tước Bá cháu năm đời của ô DoãnĐốc LêcôngTriều 黎公朝
HVB_005_0157	胡士楊 吏科給事中潤裔男	HosiDuong 胡士揚 Lạikhoa Cấpsụtrung Nhuận duệNam
HVB_005_0158	玄宗穆皇帝 弘祖陽王	ĐỜI VUA HUYỀN TÔNGMỤCHOÀNGĐỂ HoằngTồ DươngVương chúa TrịnhTạc
HVB_005_0159	兄弟同科 世科 阮 東岸雲恬人三十三 歲 中仕至刑部侍郎貶太僕寺卿實之曾孫宜之孫仕之兄審之父	tuổi làm đến Hinhbộthị lang giáng xuống Thái bộctựkhanh cháu tằngtôn ông Thực chảu nội ông Nghi anh ông Sĩ thânphụ ông Thầm Anh em đỗ đồng khoa
HVB_005_0160	嘉宗美皇帝 弘祖陽王	Hoằng Tồ Dươngvương Chúa TrịnhTạc Niên hiệu DươngĐức thứ khoa Quysửu
HVB_005_0161	熙宗章皇帝 弘祖陽王	ĐỜI VUA HYTÔNG CHƯƠNGHOẢNGĐẾ HoằngTồ Dương vương Chúa Trịnh Tạc
HVB_005_0162	阮吳鍾 東岸錦章人三十六 歲 中奉使仕至戶部尚 卡 致仕贈少保郡公壽七十五	tuổi có đi sử làm đến Hộ bộ Thượngthư tước Hầu về hưu tặng Thiếubảo tước Quậncông thọ tuổi
HVB_005_0163	阮公望 翰林院校討原名阮名望	Lượngsơn đạo Giámsát Ngựsử Niên hiệu VīnhTrị tht khoa Canhthân
HVB_005_0164	熙宗章皇帝 昭祖康王	ĐỞI VUA HYTÔNG CHƯƠNG HOÀNGĐẾ Chiêutồ KhươngVương chúa TrịnhCăn
HVB_005_0165	阮光論 安朗理海人有神童二十 歲 中改名公綸仕至給事 中 維祥之六代孫宏綽之五代孫世守之玄孫	cháu sáu đời ở DuyTương chàu nắm đời ò HoằngXước cháu huyềntôn ở ThèThủ Nhiều đời đăng khoа
HVB_005_0166	裕宗和皇帝 昭祖康王	Chiêu Tổkhươngvương chúa TrịnhCăn NIÊN HIỆU VINHTHANH 永盛 THỨ
HVB_005_0167	父子登科 阮貴恩 慈廉大姥人士望四十三 歲 中仕至提刑左司講加贈工部尚 卡 封中等大王貴 之子父子同朝長子憼進朝仕尚 卡 封福神	gia tăng công bộ Thượng thư phong Trungđẳng Đạivương con ô Quy Đức cha con đồng triều con đầu là Quy Kinh làm đến Thượng thư đều phong Phước thần
HVB_005_0168	阮公寀 青池金縷人省元三十二 歲 中會元再中東閣仕至吏部尚 卡 四入參從榮封功臣出鎮郡公致仕起復參從卒贈太傅	NguyěncôngThai 阮公家 Người hạt Thanhtrì làng Kimlũ Tỉnhnguyên thi đỗ khi tuổi Hộinguyên lại thi đậu vào Đông các làm đến Lạibộ Thượng thư bốn lầu làm chức Tham tụng vinh phong Côngthầnxuấttrấn Quậncông khi về hưu lại triệu ra làm Thamtụng khi mắt tặng Tháiphó
HVB_005_0169	阮廷檳 青池月盎人士望三十二 歲 中仕至憲 察 使國楨廷柱之曾孫廷檍廷栢之姪	BinhbộTâ thị lang tước Hầu về hưu lại triệu dụng sau tặng Thượngthư Nguyěnd nh Quy 阮廷
HVB_005_0170	阮登階 嘉林香蒙人二十五 歲 中應制合格仕至翰林待制	NguyèndăngGiai 阮 登階 Người hạt Gialâm làng Hươngtriện thi đỗ khi tuổi ứngchế hợp cách làm đến HànlámThịchế
HVB_005_0171	兄弟登科 吳廷礩 青威左青人三十六 歲 中仕至兵部尚 卡 侯爵榮封功臣致仕起復贈少保郡公爵廷碩之弟	tuổi làm đến BinhbộThượngthư tước Hầu vinhphongCông thần về hưu sau ra làm lại khi mất tặng Thiếu bảо tước Quận còng em ĐinhThạc Anh em đều đăng khoa
HVB_005_0172	陳庭揪 壽昌報天人屋唐豪遼舍省元三十 歲 中仕至寺卿贈參政	TràndinhThu 陳廷批 Người hạt Thọxươnglàng Báothiên quán ở hạt Đường
HVB_005_0173	永慶帝 裕祖順王	Dũ tổthuận vương chúa TrịnhGiang NIÊN HIỆU VĨNHKHÁNH THỨ
HVB_005_0174	純宗簡皇帝 裕祖順王	ĐỜI VUA THUẦNTÔNG GIẢNHOÀNG ĐỂ DũTổthuậnvương chúa TrịnhGiang
HVB_005_0175	懿宗徽皇帝 裕祖順王	ĐỜI VUA ÝTÔNG HUY HOÀNGĐỂ DũTổ thuậnvương chúa TrịnhGiang
HVB_005_0176	兄弟登科 黎仕滂 天祿內天祿人三十二 歲 中仕至東閣學士仕霑之弟	Người hạt Thiênlộc làng nội Thiênlộc thi đỗ khi tuổi làm đến Đôngcáchọcsī em d SīTriêm anh em đồng khoa và đồng bằng Trúng đệ tam giáp Đồngtiếnsĩ xuất thần
