pair_id	han_sentence	viet_sentence
HVB_001_0023	占城立国于海濵中国商舟泛海往来谓畨者皆聚于此以积新水为南方第一马头占腊王琴蒲茄道览渌淮	Nước ChiêmThành Lập quốc tại mé biển thương thuyền TrungQuốc vượt bể đi qua các nước phiênphục thường tập trung tại đấy để chứa củi và nước là bến tàu lớn nhất tại phía Nam
HVB_001_0024	安南志畧卷二元	Đây là LưuTống đời NamBắc triều An Nam Chí Lược Quyển Đệ Nhị
HVB_001_0025	大元诏制中统	CổÁi ĐôngSơn LêTắc Biên ĐạiNguyên ChiếuChế
HVB_001_0026	元綂三年诏	An Nam Chí Lược Quyển Đệ Nhị Lời Chiếu năm NguyênThống thứ
HVB_001_0027	安南志畧卷二卷三	LýLongHàn tức LýCaoTông An Nam Chí Lược Quyển Đệ Nhị
HVB_001_0028	安南志畧卷三	An Nam Chí Lược Quyển Đệ Tam A n N a m C h í L ư ợc
HVB_001_0029	丁巳年安南始臣附天朝世祖皇帝即以庚申嵗建元为中綂元年安南国王陈　遣使上表称贺贡方物明年诏封陈　为安南国王遣礼部郎中孟甲礼部员外郎李文俊充安南宣谕使	tức nhà Nguyên lên làm vua lấy năm Canhthân làm năm đầu hiệu TrungThống vua Annam là TrầnNhậtCảnh sai sứ dâng biểu chúc hạ và cống các phẩmvật
HVB_001_0030	至元三十一年正月上崩成宗皇帝即位诏罢兵遣礼部侍郎李思衍兵部侍郎萧泰登使安南赍诏赦世子罪放来使陶子竒还国	Tháng giêng năm ChíNguyên thứ vua ThếTổ băng ThànhTông Hoàngđế nối ngôi ra lời chiếu chỉ bãi binh khiến LễBộ ThịLang LýHàn BinhBộ ThịLang TiếuTháiĐăng sang sứ Annam
HVB_001_0031	附萧方崖使交録序	Phụ TiêuPhươngNhai Sứ Giao Lục Tự Bài Tựa Của TiêuPhươngNhai Đi Sứ GiaoChâu
HVB_001_0032	至大四年遣礼部尚书奈曼岱吏部侍郎尼古巴兵部郎中杜与可奉使安南宣仁宗皇帝即位诏皇庆初元世子陈　遣使贡贺	Năm ChíĐại nguyênniên vua VũTông nhà Nguyên sai LễBộ Thượngthư AnLỗOai LạiBộ ThịLang LýKinh BinhBộ ThịLang CaoPhụcLễ sang sứ Annam để tuyên lời chiếu dụ tức vị của
HVB_001_0033	至治元年遣吏部尚书教化礼部郎中文矩使安南宣英宗皇帝即位诏明年世子陈　　遣使贡贺	Năm đầu hiệu ChíTrị vua AnhTông sai LạiBộ Thượngthư GiáoHoá LễBộ LangTrung VănCủ qua sứ Annam để tuyên đọc chiếu văn tức vị của AnhTông Hoàngđế Qua năm sau
HVB_001_0034	泰定元年遣吏部尚书玛哈穆特礼部郎中杨宗瑞使安南宣诏	Năm đầu hiệu TháiĐịnh sai LạiBộ Thượngthư MãHiệpMưu LễBộ LangTrung Dương TôngThụy đi sứ Annam tuyên lời chiếu
HVB_001_0035	至顺三年遣吏部尚书森济乌克礼部郎中赵期熈使安南宣文宗皇帝即位诏明年陈　遣使贡贺	Năm ChíThuận thứ vua VănTông sai LạiBộ Thượngthư SátChỉNgỏa LễBộ Lang Trung TriệuKỳHy đi sứ Annam tuyên đọc chiếuvăn tứcvị của VănTông Hoàngđế Qua năm sau
HVB_001_0036	元统三年遣吏部尚书特珠礼部郎中智熈善使安南宣今上皇帝即位诏明年陈　　遣使贡贺	Năm NguyênThống thứ vua Thuậnđế sai sứ là LạiBộ Thượngthư ThiếtTrụ LễBộ LangTrung TríHyThiện sang sứ Annam tuyên đọc lời chiếuvăn tức vị của KimThượng Hoàngđế Qua
HVB_001_0037	前朝奉使汉使	SứThần các TriềuĐại trước HánSứ Các SứThần nhà Hán
HVB_001_0038	陆贾楚人也以客从汉髙祖定天下名为辩士常使诸侯时中国初定赵佗据南越髙帝使贾赐佗印为南越王贾至佗魋结音权髻箕踞见贾贾曰足下中国人昆弟坟墓在真定今足下反天性弃冠带欲以区区之越与天子抗衡为敌国祸且及身天子闻君王南越不助天子诛暴逆将相欲移兵而诛王天子怜百姓新定劳苦且休之遣臣授王印绶部符通使王宜郊迎北望称臣乃以新造未集之越强比于汉试问之掘烧王先人冢夷灭宗族使一偏将将十万衆临越则杀王降汉如覆手耳于是佗乃蹶然起坐谢曰居蛮夷中久疎礼义乃大悦陆生留与饮数日赐贾槖中装值千金贾卒拜佗为南越王令称臣奉汉约归报髙祖大悦拜贾大中大夫髙后时禁南越闗市铁器佗乃僭号为帝文帝复遣贾往使让之佗恐称臣奉贡职皆如意	biệnsĩ thường đi sứ các nước chưhầu Khi nhà Hán mới thốngnhất TrungQuốc thì TriệuĐà hùng cứ nước NamViệt Hán CaoTổ khiến Giả đem cho TriệuĐà một cái ấn để làm vua nước NamViệt Giả đến
HVB_001_0039	严助孝武时人建元四年闽越击南越边邑南越王胡上书曰两粤俱为藩臣毋擅兴兵相攻击今东粤擅兴兵侵臣臣不敢兴兵惟天子诏之于是帝命王恢等率师讨闽越师还帝遣严助谕南越王胡感德遣子婴齐入质	đoạt Vua HiếuVõ sai bọn VươngKhôi xuất quân qua đánh MânViệt rồi trở về Vua lại sai TrangTrợ dụ vua NamViệt là Hồ Hồ cảm ơn vua Hán khiến con là AnhTể vào làm con tin
HVB_001_0040	摎乐南越太后弟也帝命副韩千秋将兵临越吕嘉攻杀之帝封其子广德为龒侯晋使	Em bà TháiHậu nước NamViệt VõĐế sai làm phótướng cho HànThiênThu đem quân qua Việt bị LữGia đánh giết vua phong cho người con là QuảngĐức làm LongHầu
HVB_001_0041	石崇晋武帝时以	TốngSứ SứThần đời nhà Tống Năm KhaiBữu thứ của Tống TháiTổ ThốngSoái GiaoChỉ là ĐinhLiễn sai sứthần sang
HVB_001_0042	髙保绪宋太祖开宝八年交址帅丁琏遣贡诏封琏爵保绪以鸿胪卿偕王彦符为官告使	Năm TháiBình HưngQuốc thứ của TốngTháiTông Tập đương giữ chức CungPhụng Quan đi sứ GiaoChỉ
HVB_001_0043	卢袭太宗太平兴国五年袭以供奉官使交址张宗权太平兴国五年交址黎桓簒丁氏权以供奉官往使谕之	Trong năm TháiBình HưngQuốc thứ LêHoàn người GiaoChỉ cướp ngôi của vua nhà Đinh TrươngTôngQuyền đương làm CungPhụngQuan đi sứ qua GiaoChỉ để tuyên lời dụ
HVB_001_0044	宋镐淳化元年以左正言直史馆偕右正言直史馆王世则充官告使	Trong năm ĐoanCủng nguyên niên phong tước cho LêHoàn Tường làm chức Ngu Bộ ViênNgoạiLang cùng LýĐộ làm chức TrựcSửQuán sung chức Quancáosứ đi qua NamViệt
HVB_001_0045	李建中至道初交址犯边太宗命广西转运使陈尧叟赐黎桓诏书乃遣康尉李建中赍诏往谕	Tông sai QuảngTây ChuyểnVậnSứ là TrầnNghiêuTẩu đem tờ chiếuthư ban cho LêHoàn và khiến HảiKhangUý là LýKiếnTrung đem tờ chiếu cùng đi qua dụ GiaoChỉ
HVB_001_0046	章频宋广西转运使也天圣六年交址郡王李公藴薨仁宗命频为吊祭使	Chuyểnvận sứ tỉnh QuảngTây Trong năm ThiênThánh thứ GiaoChỉ quậnvương Lý CôngUẩn mất NhânTông sai ChươngTần làm điềutếsứ qua GiaoChỉ
HVB_001_0047	刘丙景定间为武节郎东南第十二上将静海驻扎时安南陈王遣贡理宗回赐礼物并奬谕诏即命广西经畧使赐之因遣丙赍诏入安南谕	Trong niênhiệu CảnhĐịnh làm quan VõTiếtLangĐôngNam đệthập nhị chánh tướng Tịnhhải trútrát Lúc ấy vua Annam nhà Trần khiến sứ cống hiến nên vua LýTông ban những
HVB_001_0048	钦定四库全书	AnNam ChíLược Quyển Đệ Tam Chung An Nam Chí Lược Quyển Đệ Tứ
HVB_001_0049	秦始皇三十三年发诸道逋赘壻贾人为兵使尉屠雎将楼船之士使监禄凿渠运粮深入越地畧取陆梁为桂林南海象郡以谪迁五十万人戍岭秦末南海尉赵佗击并之自立为王汉髙祖因封佗为安南越王时髙后禁南越闗市铁器佗乃僭称帝发兵攻长沙边邑将军隆虑侯击之暑润士卒大疫兵不能逾岭嵗馀髙后崩即罢兵孝武建元四年闽击南越王故守天子约不敢擅发兵而上书帝遣王伟韩安国讨闽越胡感德遣子婴齐入质婴齐立薨子兴立其相吕嘉作乱帝遣韩千秋将二千人入越境嘉反攻杀其王并汉使者而立建德元鼎五年以衞尉路博德为伏波将军出桂阳下湟水主爵都尉杨仆为楼船将军出豫章下横浦越人归义侯为戈船下濑将军出零陵下离水抵苍梧越人驰义侯因巴蜀罪人发夜郎兵下牂牁江十万师分道而进六年楼船将军精兵先陷寻陿破石门得越船粟路博德俱进至畨禺建德嘉皆城守汉兵攻败粤人纵火烧城日暮伏波乃为营使招降者赐印绶复纵令相招迟旦城中皆降吕嘉建德以夜与其属数百人亡入海伏波遣将追擒之戈船下濑夜郎兵未下南粤已平遂以其地为九郡交州记曰是时越自金三侯牵牛酒千锺将交址九真日南三郡户籍延降路博德因拜三省为三郡守雒王雒将治民如故	nhà Hán sai con là AnhTề vào hầu vua AnhTề mất con là Hưng kế lập Tướng Việt là LữGia làm phản VũĐế sai HànThiênThu đem người tới đất Việt Gia nổi lên đánh giết vua cùng sứgiả nhà
HVB_001_0050	宋文帝元嘉二十三年林邑王范阳迈反交州刺史檀和之与将军宗慤击之阳迈走象浦举衆乗象以拒宗慤宗慤为狮子威服百兽乃制其形与象相遇果惊奔贼溃乱遂克林邑获其珍宝	Năm NguyênGia thứ của TốngVănĐế vua LâmẤp là PhạmDươngMại làm phản quan ThứSử GiaoChâu là ĐànHoàChi cùng tướng quân TôngXác đem quân tới đánh thành KhuTúc
HVB_001_0051	安南志畧卷四卷五	An Nam Chí Lược Quyển Đệ Tứ Năm TháiBình HưngQuốc thứ của TốngTháiTông ĐinhLiễn ở GiaoChâu mất em là
HVB_001_0052	钦定四库全书	AnNam ChíLược Quyển Đệ Tứ Chung An Nam Chí Lược Quyển Đệ Ngũ
HVB_001_0053	钦定四库全书	AnNam ChíLược Quyển Đệ Ngũ Chung An Nam Chí Lược Quyển Đệ Lục
HVB_001_0054	黎崱　撰表章	Biểu Chương Các Bài Biểu
HVB_001_0055	至元三十一年内附安南王陈益稷表贺元旦节	Năm ChíNguyên thứ nộiphụ Annam vương là TrầnÍchTắc dâng biểu chúc hạ nhân dịp Tết NguyênĐán
HVB_001_0056	至元三十一年安南王陈益稷表贺成宗皇帝即位	Năm ChíNguyên thứ Annam QuốcVương TrầnÍchTắc dâng lời biểu hạ nhân dịp ThànhTông Hoàngđế lên ngôi
HVB_001_0057	大德十五年夏五月武宗皇帝即位安南王陈益稷表贺	Trông trời gang thước lễ hạ bái nguyền theo dõi TềHầu Tháng năm mùa hạ năm ĐạiĐức thứ VõTông HoàngĐế lên ngôi Annamvương
HVB_001_0058	至大四年春三月仁宗皇帝即位安南国王陈益稷表贺	Tháng mùa Xuân năm ChíĐại thứ NhânTông Hoàngđế lên ngôi Annam vương TrầnÍchTắc dâng biểu chúc hạ
HVB_001_0059	延佑七年三月英宗皇帝即位安南国王臣陈益稷表贺	Tháng năm DiênHựu thứ AnhTông Hoàngđế lên ngôi Annamvương TrầnÍchTắc dâng lời biểu hạ như sau
HVB_001_0060	前代书表	Tiền Đại Thư Biểu Thư và Biểu của đời trước
HVB_001_0061	宋太平兴国五年交址丁琏薨弟璇立大校黎桓篡之太宗举兵伐桓桓诈代璇上表	Năm TháiBình HưngQuốc thứ GiaoChỉ ĐinhLiễn con ĐinhBộLĩnh mất em là ĐinhTriền lên làm vua quan ĐạiHiệu là LêHoàn cướp ngôi vua TốngTháiTông cử
HVB_001_0062	安南志畧卷七	AnNam ChíLược Quyển Đệ Lục Chung An Nam Chí Lược Quyển Đệ Thất
HVB_001_0063	汉交州九真日南刺史太守附三国时刺守邓勲南阳人后汉西华晨祖父为交州牧益居昌居翁子也汉五凤五年交州刺史邓让不知何许人按光武纪王莽末交址诸郡闭境自守岑彭素与交址牧邓让厚善与让书陈国家威德于是让率诸郡太守遣使奉贡悉封列侯	Người NamDương ông nội của TâyHoaHầu ĐặngThần đời HậuHán làm chức ChâuMục ở Con của CưÔng trong năm NgũPhụng thứ làm Thứsử quận GiaoChâu
HVB_001_0064	李善字次孙南阳人为汉太子舍人显宗时守日南以惠爱为政怀来异俗迁九真太守	An Nam Chí Lược Quyển Đệ Thất Tự là ThứTôn người đất NamDương làm chức TháiTử XáNhân của nhà Hán Trong thời vua
HVB_001_0065	张恢显宗时守交址坐赃伏法以资物簿入司农诏颁羣臣	Trong triều vua HiểnTông làm TháiThú GiaoChỉ vì ăn hốilộ bị tội của bị tịch thu vào kho Vua nhà Hán ra lời chiếu lấy của ấy ban cho các quan
HVB_001_0066	胡贡广父也为交址都尉樊演顺帝永和二年为交州刺史日南象林贼蛮区怜反演发兵击之	Cha của HồQuảng làm chức ĐôUý quận GiaoChỉ Trong năm VĩnhHoà thứ của ThuậnĐế làm chức ThứSử quận GiaoChỉ Giặc mọi Khu
HVB_001_0067	頼恭零陵人刘表遣为交州刺史仁谨不习世故为苍梧太守吴巨所逐刘先主用为太常	Người LinhLăng được LưuBiểu sai làm ThứSử quận GiaoChâu tính người nhântừ cẩnthận không thạo việc đời bị TháiThú quận ThươngNgô là NgôCự đuổi đi LưuTiênChúa LưuBị dùng làm
HVB_001_0068	綦母团稽人刘表遣为交州刺史朱治字君理丹阳人建安七年孙权表治为扶义将军九真太守时平夷越	Tự là QuânLý người ĐanDương Trong năm KiếnAn thứ TônQuyền dâng biểu cử Trị làm PhòNghĩa TướngQuân giữ chức TháiThú quận CửuChân đánh yên quân mọi và Việt
HVB_001_0069	士徽燮子也燮卒自领交址太守权遣陈时代徽为太守徽拒之后为吕岱所斩	Con của SĩNhiếp Sau khi SĩNhếp mất Huy tự lãnh chức TháiThú quận GiaoChỉ sau bị LữĐại Thay SĩNhiếp tới làm TháiThú bị con của Nhiếp là Huy cự tuyệt
HVB_001_0070	陈袭临淮人永安七年为交州牧值孙諝虐政后复分海东四郡为广州以熊牧为刺史海南三郡为交州以袭为刺史移治龙编	Tự là ĐịnhCông người QuảngLăng Trong năm HoàngVõ thứ nhà Ngô làm ThứSử GiaoChâu Khi trước SĩHuy ở GiaoChỉ nghịch mệnh Đại đốc quân vượt biển qua đánh Huy sợ suất cả
HVB_001_0071	修则湛父也吴交州都督晋交址牧杨稷斩之刘俊吴交州刺史为毛炅所杀	GiaoChỉ bắt giết các tướng do nhà Tấn phái sang nhân đó quận CửuChân quận NhậtNam lại thuộc về Ngô Nhân thànhcông đó Phiếm được thăng chức ThứSử GiaoChâu được phong tước là DưDiêu
HVB_001_0072	爨宗蜀命领交州事或云晋交州刺史毛炅蜀交址太守或云晋将军	Tự là PhụngTiên người QuếDương theo nhà Ngô làm quan TháiThú quận CửuChân Làm quan ThứSử quận GiaoChâu nhà Ngô
HVB_001_0073	安南志畧卷七卷八	DươngTắc chém An Nam Chí Lược Quyển Đệ Thất
HVB_001_0074	安南志畧卷八	An Nam Chí Lược Quyển Đệ Bát A n N a m C h í L ư ợc
HVB_001_0075	孟干随毛炅自蜀出交址为吴所擒后归晋陈伐吴之计晋武帝以为日南太守	trước LữHưng giết TônTư đem quận ấy thuộc về nhà Tấn Tấn VõĐế phong Hưng làm TháiThú quận GiaoChỉ Về sau Hưng bị LýThống giết vua lại khiến SoánCốc và MãDung ở đất BaTây
HVB_001_0076	张应唐安南经畧卒于官其佐李元度以兵胁州县为安南经畧	Làm chức TrầnĐông Đạitướngquân nhà Tấn đốc suất quânsự châu là Giang Hoài Kinh Tương Giao Quảng
HVB_001_0077	元楚客江陵人开元初迁安南都同杨思朂平蛮渠梅叔鸾之叛	thứ TrươngLiễn làm Thứsử GiaoChỉ cứ đất NhưCụ làm phản tiến công QuảngChâu bị TăngKhối đánh tan VươngHúc chép rằng Liễn làm ThứSử GiaoChâu được phong Cao hầu đi đường
HVB_001_0078	唐安南都督经畧使交爱驩三郡刺史李大亮贞观初为交州都督	Làm ThứSử GiaoChâu đời nhà Tống Trong năm hiệu NguyênGia đi đánh nước LâmẤp Vua LâmẤp là PhạmDươngMại xuất ngoại trong khi ấy có viên tướng của DiChi là Nguyễn
HVB_001_0079	陈霸先字兴国吴兴人意气雄杰涉猎经史以广州军为交州司马与杨讨李贲西江集诸将问计霸先曰奉命伐罪宜捐死生以赴之岂事逗挠不进长寇惑衆乎推霸先为先锋所向摧陷以功授髙要太守督七郡诸军事	Tự là HưngQuốc người NgôHưng chíkhí hùng kiệt đọc hết kinh sử nhơn làm Thamquân ở QuảngChâu thăng lên chức TưMã GiaoChâu hợp với DươngPhiêu đánh LýBí Phiêu tập hợp các
HVB_001_0080	简文帝大宝初为交州刺史后即帝位欧阳纥陈大建初督交广领十九州军事十馀年威著百越髙宗疑之诏徴还朝纥惧遂反	năm ĐạiBửu vua GiảnVănĐế nhà Lương làm ThứSử GiaoChâu sau lên làm Hoàngđế Trong năm đầu TháiKiến vua TuyênĐế nhà Trần làm chức ĐôĐốc quản lãnh quânsự
HVB_001_0081	阮研宋交州刺史善草书	AnNam ChíLược Quyển Đệ Bát Chung An Nam Chí Lược Quyển Đệ Cửu
HVB_001_0082	李象古唐宗室为安南都贪纵不法黄家洞反象古授驩州刺史杨清兵三千助讨清还袭杀象古桂仲武唐都平杨清乱	Làm Annam KinhLượcSứ đời nhà Đường Thời ấy có người phản thần của HoànVương tức ChiêmThành là LýLạcSơn toan mưu cướp ngôi đến xin quân viện HànhLập bắt chém LạcSơn trả
HVB_001_0083	马植字存之文宗开威初为安南都其政清静不烦民安之化诸南蛮皆来纳欵	Tự TônChi đầu niên hiệu KhaiThành đời vua VănTông làm Annam đôhộ lấy vănnhã traudồi làm việc quan thanh tịnh chẳng phiền dân được yên ổn các tù trưởng đều nạp lễ qui thuận
HVB_001_0084	胡刚汉太傅广四世祖清髙有节王莽居摄解衣冠挂府门而去亡命交趾隠于屠肆莽败乃归郷里	Ông tổ bốn đời của TháiPhó nhà Hán là HồQuảng Làm người thanh cao có khítiết gặp lúc VươngMãng soán ngôi treo mão ở cửa phủ mà đi lưu lạc ở GiaoChỉ ẩn mình làm hàng thịt Đến ngày
HVB_001_0085	刘巴字子初零陵人刘表辟几次不就曹公辟为掾使招纳零陵桂阳长沙先主畧有三郡不复返遂适交址与士燮计谋不合又入蜀诸葛称之因为尚书清俭恭黙先主称号命皆巴所作	Tự là TửSơ người quận LinhLăng LưuBiểu mấy lần mời ra làm quan chẳng chịu đến Tào Công vời làm DuyệnLại sai đi chiêu hàng mấy quận LinhLăng QuếDương TrườngSa Gặp lúc Tiên
HVB_001_0086	顾谭字子黙呉相雍之孙也为尚书以上书疏鲁王覇由是覇与谭有隙又卫将军全宗子寄为覇賔友素轻邪谭所不纳遂坐徙交址	Tự là TửMạc cháu nội của CốUng tướng nước Ngô Đàm làm ThượngThư vì dâng sớ nói việc LỗVươngBá từ ấy Bá với Đàm hiềm nhau Lại nhân con của VệTướngquân ToànTông là ToànKý
HVB_001_0087	张休字子猷为侍中掾威将军与顾谭顾承以芍陂论事诈伪坐徙交州竟为孙洪所譛诏赐死	Tự là TửDo làm ThịTrung DươngOai Tướngquân cùng với CốĐàm CốThừa bị Tuấn Pha luận công sự gian dối phải đày qua GiaoChâu sau bị TônHồng gièm pha vua xuống chiếu bắt phải tự
HVB_001_0088	王福畤勃父也髙宗时为雍州司户参军坐勃事迁交址令勃往交址省父渡溺水卒	Cha của VươngBột thời CaoTông làm UngChâu TưHộ ThamQuân Vì việc của VươngBột bị đổi qua làm GiaoChỉLệnh VươngBột qua GiaoChỉ thăm cha bị đắm thuyền chết
HVB_001_0089	李友益义府族也附杜正伦同摭义府衅义府使人告正伦友益交通罔上有异计髙宗恶之流驩州	Người đồng tộc với LýNghĩaPhủ theo ĐỗChínhLuân cùng nhau kể tội LýNghĩaPhủ Sau NghĩaPhủ khiến người đầu cáo ChínhLuân làm phản cùng LýHữu giao thông để dối vua có mưu toan
